image_id,headline,caption,section,generated_baseline_no_context,alt_text_length
0d1c1bcb-fcb7-5910-a2a6-71c69e8bc373,The Story of California Told Through One Family,"Jerry Brown, left, and Pat Brown in 1978.",Books,"A formal gathering featuring a man in a suit raising his arm, alongside an older woman wearing pearl earrings and a pearl necklace, both standing amidst other formally dressed individuals.",188
7a98d789-2626-5820-aa51-206a5f9dc362,Nuclear Woes Hurt Bottom Line at EDF,"Completion of the EDF nuclear power plant being built in Flamanville, France, on the Normandy coast, will be delayed by a year because of increased costs.",Global Business,A construction worker wearing a red hard hat and high-visibility vest oversees a large-scale construction site with cranes and ocean views in the background.,157
0201db01-c247-5414-a645-0d5a97e94382,Fox News Apologizes for Featuring Veteran Who Lied About Being a Navy SEAL,"John Garofalo was identified by Fox as a ""Purple Heart recipient who taught himself the art of glass-carving."" On Thursday, the network said that his service claims were untrue.",Media,"""Fox News channel advertisements featuring hosts for shows like 'Outnumbered,' 'Shepard Smith Reporting,' and 'Your World.' The signage highlights show times.""",159
6927fb0c-4a13-57ae-aeaf-ef2cbb11f5e5,For the Love of a Dog and Duane Reade,Mitch Leff and Mazel at home in their new Upper East Side apartment.,Real Estate,A man sits on a beige couch with his light-colored dog resting on his lap. The background features a small round table and a colorful artwork above the couch.,158
f8c7d1f2-4f73-510e-9477-11b2c79399ec,Adam Ottavino's Harlem Hide-Out,"Adam Ottavino, a former relief pitcher for the Colorado Rockies, warmed up last month at a facility he rents in Harlem from his father-in-law. He said it had helped him improve his velocity and cook up a devastating slider.",Sports,"Man wearing ""Berkeley Carroll"" shirt performing a dynamic movement in an indoor gym setting with exercise equipment and other individuals in the background.",156
e09645c9-3593-544b-a014-5441eee8a791,"Welcomed With Kisses, Stanford Freshmen Risk the 'Kissing Disease'",A couple kissing after midnight.,Education,"A couple kissing in a dimly lit setting, one wearing a black cap with a yellow logo and a gray and black jacket, the other with long light brown hair, both dressed warmly.",171
75022ed5-6177-520a-8e50-c3288808cd48,"Here's the Key to Your Suite, and Another to Your Rolls-Royce",A vintage Rolls-Royce at the Corinthia Hotel in Malta.,Your Money,"Man wearing sunglasses and a red-striped shirt standing beside a silver vintage car with a classic grille, in front of a building surrounded by greenery.",153
2c584e9a-906d-5eb8-888e-549bc4a33d1f,Twyla Tharp Returns to the Music of Bob Dylan,"Kaitlyn Gilliland and Matthew Dibble in Twyla Tharp's ""Beethoven Opus 130"" at the Joyce in 2016. Ms. Tharp's latest dance, ""Dylan Love Songs,"" will have its premiere at the Joyce in September.",Dance,"Two dancers in a ballet performance, one in a flowing black dress and the other in a black top and leggings, executing graceful poses against a dark backdrop.",158
8d8888c6-8517-5e5f-a8a3-c8117339e3ac,The Flea Circus,Running you Raggedy: some of the dolls and duds for sale on a typical Sunday at the Rose Bowl flea market.,Style,"A car adorned with colorful items, including a Mickey Mouse plush, Raggedy Ann dolls, and clothing, parked at an outdoor market near palm trees and buildings.",158
c2a43ace-e1c8-5795-b4f4-57b0513153b1,You Dumped Facebook. So Why Does It Keep Sending You Emails?,"The ""Security and Login"" section of the Facebook settings screen lists all the devices that are logged into your account.",Technology,"Settings page showing security options with two-factor authentication recommendation and logged-in devices listed: Windows PC and two Macs from New York, NY, United States.",172
a5981705-3e85-547c-9a30-1f3a3e6e15ad,"For Russia's Poor, Blond Hair Is Snippet of Gold","In the global beauty industry, blond hair is valuable. At this plant in Yukhnov, Russia, hair is washed, dyed and sorted.",Global Business,"Three individuals wearing yellow vests work together in a kitchen setting, handling food items and containers, with a red plastic bin and white containers visible.",163
f4f3e990-5d23-58a6-99f6-c55131de2858,"At Bottega Veneta and Versace, the Soft Power Suit Also Rises",At Versace.,Fashion & Style,"Two models walk down a runway, one wearing a camo-patterned outfit with neon accents, carrying a black handbag, while another wears a blue ensemble with red chains.",164
9cb5a45e-2854-54f7-ade8-bd93ee79c40a,The Last of Joan Rivers,"From left, Kelly Osbourne, Joan Rivers, Giuliana Rancic and George Kostiopolous from the 2012 season of &ldquo;Fashion Police.&rdquo;",Style,"Four individuals posing together in colorful outfits: one in a striped shirt, another in a pink jacket, a third in a purple dress, and a fourth in a black jacket with yellow pants.",180
61587f48-0da3-5ef7-8e21-a8df02f4cc43,Big Tech Zeros In on the Virus-Testing Market,"After setting up sites like this coronavirus drive-through test clinic in San Mateo, Calif., Verily is introducing a virus screening and health analytics service for employers.",Technology,"A person in protective gear walks alongside a black Volkswagen Golf parked at a drive-through COVID-19 testing station, with traffic cones marking the area.",156
7ed4964b-c8de-5e92-aac9-661a88f54b19,"Fed Says Growth Lifts the Affluent, Leaving Behind Everyone Else","Janet L. Yellen, Fed chairwoman, said that income inequality was ""one of the most disturbing trends facing the nation.""",Economy,"A woman with gray hair wearing a black top and pearls sits at a conference table with microphones and papers, likely participating in a formal meeting or discussion.",165
3b14c1dc-ed34-52b7-b9ae-94f76b1bcd2c,White Artist's Painting of Emmett Till at Whitney Biennial Draws Protests,"Dana Schutz's ""Open Casket,"" a 2016 painting in the Whitney Biennial.",Art & Design,"Abstract painting with a prominent brown, textured form resembling a mask or sculpture, set against a background of muted yellows, whites, blacks, and hints of red and orange.",175
71edad99-187c-5b66-90bc-a6523b9f3c1a,How to Fall Under a Butoh-like Spell,"Raja Feather Kelly and Mina Nishimura in Kota Yamazaki's ""Darkness Odyssey Part 2: I or Hallucination.""",Dance,"A woman in a blue and green top and light-colored skirt dances gracefully, while another person in a white shirt and blue pants observes in the background.",155
878e4121-2f82-581e-b931-03a67f3f1125,How to Get Your Tweet Fix Now That Twitter's Mac App Is Dead,"Tweetbot, left, and Twitteriffic are two alternative Twitter apps for Mac users.",Technology,"BBC Sport tweet about upcoming curling match between GB women's team and Japan at 05:05 GMT, featuring the hashtags Pyeongchang2018, bbcolympics, lovecurling.",158
d4810ee6-6292-5971-a014-379147bccf40,Trump White House Meets Its Match With Barstool Sports,A clue: It was President Trump in the White House with Dave Portnoy.,Style,"Two men in suits appear to be engaged in conversation in an office setting with American flags, curtains, and a portrait of a historical figure in the background.",162
020c93bc-d639-5a5e-aa58-88248d00c742,Hayden Dunham Makes Art You Can Inhale and Drink,"Hayden Dunham setting up her exhibition ""Bio:Dip"" at Red Bull Studios New York in Chelsea.",Fashion & Style,"A person in a white jumpsuit sits cross-legged amidst various materials and tools, including a blue hose, gloves, and plastic bags, suggesting a creative or experimental workspace environment.",192
032729cd-7f28-5715-9083-cb6c37bf1d0f,Mary-Louise Parker and Adam Rapp Conjure a Haunting,Mary-Louise Parker and Adam Rapp.,Theater,"Two individuals, one wearing a black top with ruffled sleeves, and the other in a gray blazer over a blue shirt, posing together against a plain background.",156
fbc83241-e7c3-52da-9885-303968a5ebcd,They Only Look Casual,"For the stars of the Instagram generation, the paparazzi-lined pavement between the hotel door and the S.U.V. is the new runway.",Fashion & Style,"A collage featuring a woman wearing a blue fur coat, glasses, and a casual outfit, alongside close-ups of accessories like shoes, handbags, and a backpack.",155
fe5a77a0-92de-55d5-abf5-8b06efb703ff,Boy Talk: Breaking Masculine Stereotypes,"Phyllis Fagell, a school counselor at the Sheridan School in Washington, D.C., left, leading a lunchtime class aimed at getting boys to speak openly and honestly about  masculine stereotypes.",Well,"A teacher stands left of a red couch where three children sit. One child raises their hand, another rests their head on their hands, and the third sits with hands clasped.",171
5e1941dd-b246-5938-805b-f5af49099e31,Will the Rose Bowl Stand in the Way of a Bigger College Football Playoff?,The iconic status of the Rose Bowl is one of the biggest obstacles to expanding the College Football Playoff.,Sports,"A marching band stands in formation on a football field with a large stadium crowd in the background, featuring an American flag and Honda signage above.",153
675591-d733-58e1-a0c2-5eaa493450ff,"Envelope, Please: Maimuna Abdi Yussuf",Maimuna Abdi Yussuf,Education,"A smiling person with long hair wearing a light-colored cardigan over a white shirt stands outdoors on a sunny day with trees, a parking lot, and buildings in the background.",174
332ebfb2-e802-50e1-a7fb-f20d12cdf1d8,Review: The Lists We Live by in Daniel Fish's 'White Noise',Bruce McKenzie in &ldquo;White Noise.&rdquo;,Theater,"A close-up of a person's face with blood-like stains, featuring a large circular hole revealing a seated figure in formal attire against a dark background.",155
1f68aec8-95ca-5012-baab-60f0ec8e6ed9,LeBron James and the Lakers Keep Finding New Ways to Lose,LeBron James could not get a shot over Mario Hezonja in the closing seconds of the Lakers' loss to the Knicks on Sunday.,Sports,Basketball player in white jersey (#8) attempts a shot while being guarded by a player in purple jersey (#23). Crowd and NBA branding visible in background.,156
bfb3907f-9d04-5d51-bb8e-d2894ccf9e75,"Telemundo, Presidential Debate Under Its Belt, Moves Into 2020 Spotlight","Cesar Conde, the chairman of NBCUniversal Telemundo Enterprises, speaking at the opening of Telemundo's new $250 million campus in Miami last year.",Media,"A professional event with two individuals on stage, one presenting at a podium, in front of an audience seated in rows. A large screen displays ""Cesar Conde"" and the logo for Telemundo.",185
e63ae56e-f685-5683-8d12-dc4ae8ebe399,"'Addams Family' Climbs Box Office, but 'Joker' Stays on Top","A scene from ""The Addams Family,"" which opened to around $30.3 million in ticket sales this weekend.",Movies,"A group of animated characters stands in front of an open door, including a tall woman in green dress, a man in a striped suit, a small person in a fur coat, and others dressed in period attire.",194
b9418223-efb5-5120-b43e-efb6dbeca330,New York Galleries: What to See Right Now,"Dorothea Rockburne&rsquo;s &ldquo;Narcissus,&rdquo; from 1984, in the show &ldquo;Painters Reply: Experimental Painting in the 1970s and Now.&rdquo;",Art & Design,"Abstract geometric artwork featuring vibrant red, blue, orange, and wood-textured elements arranged in dynamic overlapping shapes against a white background.",157
af4ac1aa-3d3e-5090-a009-15caeffea5cc,10 Reasons Washington Is a Great Restaurant City,"An array of dishes at Bad Saint, a tiny Filipino restaurant with a big reputation.",Food,"A colorful spread of dishes: a fish with greens, a rich curry with meat, a creamy dish topped with mushrooms, roasted chicken with sauce, purple vegetables, and white rice on a patterned tablecloth.",198
ba5e0834-0552-5fb8-871a-4c601eb59c33,Six Must-Haves Needed to Seduce Buyers,"Front & York in Brooklyn has installed chevron floors, smart-tech thermostats and lots of marble in its Dumbo sales office.",Real Estate,"Modern dining room with a large window overlooking a cityscape, featuring a long black table, brown leather chairs, and a wooden bar cart adorned with bottles and decorative items.",180
be8d2f42-c3bd-5a2d-9004-b7b4041d4fde,"On 'Good Girls,' They're the Criminal Moms Next Door","In NBC's ""Good Girls,"" Mae Whitman, Retta and Christina Hendricks play three mothers overwhelmed with financial worries and domestic crises who take up a life of crime.",Television,"Three women pose together against a dark background; one wears a black jacket, another a gray jacket with orange inner layer, and the third a black floral top.",159
70194c2a-9926-503f-b385-f77f98250bc0,The Investor Next Door,"From left: Taylor Hanex and her dog, Destiny Cauliflower; Fabrizio Uberti Bona; Jing Lin.",Real Estate,"A woman in a red jacket holds a small white dog outside near greenery. Next, a man in a dark suit with a pink pocket square stands indoors with bright windows behind him. Lastly, a woman with a short bob hairstyle wears a navy blue dress inside a room with natural light.",271
ffebbdc4-c3e1-5f9f-b259-2d7badee2e6e,"Without Obamacare Mandate, 'You Open the Floodgates' for Skimpy Health Plans","Kevin and Linda Conroy at home in San Diego this month. Just two months after Ms. Conroy obtained a short-term insurance policy, he had a heart attack and underwent triple bypass surgery. Their insurer refused to pay $900,000 in medical bills, and the couple is now fighting the issue in court.",Health,"A man in a beige shirt sits at a table, with a woman in a blue blouse standing behind him, resting her hand on his shoulder. The background features a white wall, a bookshelf, and a guitar case.",194
973a7daa-a29e-505b-88ef-d48d5fc5bd55,"Mom, I'm Gay. Can My Friends Sleep Over?","Jeff Freund banned sleepovers for his son, Trey, who is gay, after asking himself, ""Would I let his sister at that age have a sleepover with a boy?""",Well,A young man in a gray sweater smiles alongside an adult male wearing a gray button-up shirt. They stand outdoors with a blurred building in the background.,155
8d41b8fe-bf80-5293-93b5-a1cc33500610,How Do You Sell a Work of Art Built Into the Earth?,"Robert Smithson's ""Broken Circle/Spiral Hill"" in Emmen, a town in the Netherlands.",Art & Design,"A serene landscape with a sandy island surrounded by calm water, a small dome structure in the background, and dense trees beyond under a partly cloudy sky.",156
2f051767-9588-538c-aee9-dc3f6a6acbea,The Fringe Binge,"From left, fringed looks from Monse, Diane von Furstenberg and Calvin Klein.",Fashion & Style,"Fashion runway models showcase diverse looks: left, a striped outfit with fringes; middle, a sleek black dress with a crossbody bag; right, a vibrant, layered fringe dress.",172
d98f8b6c-4df9-51e8-ac2f-34d7baee8c34,"'Hamilton' Wins Big at Olivier Awards, Taking 7 Trophies","The cast of ""Hamilton"" performed at the Olivier Awards in London on Sunday. The trophies won by the show included best new musical.",Theater,"A theatrical scene with performers dressed in period costumes, including a man in a maroon coat, a seated man in a beige suit, and others in various actions on stage.",166
8e914324-2738-5496-a857-b9e46e2d22f7,"Joe Biden's Gaffe, and Advice for His Campaign","Former Vice President Joseph R. Biden Jr. spoke with Charlamagne Tha God on ""The Breakfast Club"" on Friday.",Opinion,"A split-screen showing two individuals in a virtual setting, one seated in a red chair wearing a black beanie, the other standing in front of bookshelves with an American flag displayed behind them.",198
f7bbf844-8732-5fba-8b98-ade0ab1a414f,Combine Long-Term Care With Life Insurance? Do the Numbers First,"Linda Aikey, 62, of Burke, Va., was worried about the implications of long-term care and wanted a way to pay for it.",Your Money,"A woman with shoulder-length gray hair sits at a table indoors, wearing a black cardigan over a pink top, surrounded by holiday decorations and furniture.",154
ba013f0d-9865-5eae-9b73-b9ebed300bd8,Trust Betrayed: Wives of White-Collar Criminals Tell Their Stories,"Lanora Franck and her daughter Sarah in Wichita, Kan. In 2012, Ms. Franck&rsquo;s husband, William H. Nolan, went to prison for embezzling more than $2 million from his employer.",Your Money,"Two women standing together outdoors, one wearing glasses and a black polka dot top, the other with blonde hair, against a blurred cityscape background.",152
9373bbd5-d19a-5ecb-9588-d3aeded9871f,Photographers of the Inadvertent,"A 1902 photo looking south on Broadway across 71st Street shows a fine mess, to which neighbors of Second Avenue subway construction might relate.",Real Estate,"A black-and-white image of a wide street undergoing construction with various vehicles and workers scattered throughout. Large buildings line the street, one prominent structure stands out in the center.",203
f64cea30-5210-52a9-bc8c-cae41abb9186,"Across Globe, Traders Brace for a Downturn","The downgrade of the United States credit rating drove down prices in global markets on Sunday, including in Dubai, above.",Global Business,"Women in abayas stand beside an electronic display board showing stock market data, including numbers, percentages, and company names like Hittelec, Ajmanbank, and DSI.",168
