image_id,headline,caption,section,generated_baseline,alt_text_length
6c3fb816-7be5-58d3-be46-fb8dc7cd6bf6,"50 Years After the Moon Landing, What Kids Should Know About the Apollo Missions",From &ldquo;Go for the Moon.&rdquo;,Books,"A cartoon astronaut points forward, wearing a NASA helmet, with an American flag and a building in the background, representing the moon landing mission.",153
464660a6-f87d-53ed-bc9f-4e0f6c3653c3,'All the President's Men?' Is a Starry C-Span Supercut with Bite,"Alec Baldwin as Rex Tillerson undergoing Senate confirmation hearings for the post of secretary of state in ""All the President's Men?"" at Town Hall.",Theater,"Alec Baldwin in a suit, seated at a table with a microphone and water bottles, during a staged Senate confirmation hearing for Secretary of State, reminiscent of ""All the President's Men.""",188
680d2337-c967-57cb-b0b5-7c2122ea8c76,"Ward Just, 84, Dies; Ex-Journalist Found Larger Truths in Fiction","Ward Just in 1999. A foreign correspondent who turned to fiction, he wrote a number of acclaimed novels.",Books,"Smiling man with glasses and short gray hair, wearing a blue checkered shirt. Represents Ward Just, an American journalist and novelist known for exploring American society through his fiction.",193
d31b1e4c-dc1c-55f0-ba79-8950c81710da,"Three Friends, Two Homes, One Brooklyn House","James Patalano, Rachael Patalano and Brian Hanly in the backyard of their shared two-family house in Bushwick, Brooklyn.",Real Estate,"Three friends sit together at a wooden table in a backyard with plants, a colorful rug, and a white bench, surrounded by a wooden fence with string lights and a decorative sun sculpture.",186
0982b9c9-b600-5887-9359-cba773ae11c4,3 Film Series to Catch in NYC This Weekend,"Zaide Silvia Gutiérrez in ""El Norte,"" one of the films showing at BAM's ¡Sí Se Puede!: Pioneers of Chicano Cinema.",Movies,"""Person in vibrant red shawl holding a white flower, set against a blurred background, in ""El Norte,"" part of BAM's ¡Sí Se Puede!: Pioneers of Chicano Cinema film series.""",171
9fd06ea3-187f-54fd-a61e-3cba6732fa01,"Broadway's Bathroom Problem: Have to Go? Hurry Up, or Hold It","A line for the women's restroom at the Imperial Theater, where ""Les Misérables"" played last year, extended down the hallway and staircase and into the lobby at a performance.",Theater,"Women wait in line for the women's restroom at the Imperial Theater during a ""Les Misérables"" performance, illustrating the issue of inadequate facilities faced by theatergoers.",177
493b99f4-dfaf-59a4-af8a-b34507133a22,David Gordon Digs Into His Archives for a Dance That Matters,"David Gordon's ""The Philadelphia Matter — 1972/2020"" brings the Judson Dance Theater pioneer's style of choreographic collage into the era of online streaming.",Dance,"Collage of dancers performing in a lush outdoor setting, showcasing dynamic movements and the integration of natural surroundings within the choreography.",154
37417f04-b33c-5277-9c35-bc741f464f5a,Exit the Dungeon Master. Tonys Rehearsal Is Calling.,"J.T. Rogers plays his own take on ""Dungeons & Dragons"" with his son, Henry, in blue shirt, and others.",Theater,"Man in plaid shirt points at paper map during Dungeons & Dragons game session, joined by another participant in blue shirt, suggesting a family gathering around a table.",169
3b6a5db8-0a31-5ddf-9531-11141096aa05,Rent Here and Eat Well,"Essex Market, a food hall that relocated this spring to the lower floors of the Essex, a rental building on the Lower East Side.",Real Estate,"""Busy Essex Market food hall with diverse offerings, located in a rental building in the Lower East Side, promoting a connection between food and living spaces.""",161
eea5c0c3-8b30-58c9-930b-b9e874b3d3cb,Can Israelis Put Two Landers on the Moon at Once?,"SpaceIL's control room in Yahud, Israel, during last year's Beresheet mission, shortly before the spacecraft crashed into the moon.",Science,"Control room of SpaceIL in Yahud, Israel, showing monitors displaying mission data and a spacecraft crash scenario on a large screen during the 2019 Beresheet mission.",167
697e3a0b-d2a0-5321-9a75-f1ccdbce347d,"Review: New York City Ballet, With Heartfelt Pas de Deux, in 'A Midsummer Night's Dream'","Maria Kowroski and the New York City Ballet in George Balanchine's ""A Midsummer Night's Dream"" at the David H. Koch Theater.",Dance,"A dancer in a flowing pink dress extends her arms gracefully, with another performer in a green toga in the background, all part of George Balanchine's ""A Midsummer Night's Dream.""",180
43d5d81d-ec40-5913-89bb-9b5d54a220f1,'Knives Out' Review: Murder Most Clever,"Ana de Armas and Daniel Craig in ""Knives Out,"" a murder mystery directed by Rian Johnson.",Movies,"""A man gestures while explaining a plot point as Ana de Armas listens intently in a dimly lit room filled with knives, hinting at the film's detective theme.""",158
6a2c4c3e-1cb0-5401-b8dc-400fc0ad8c3b,Review: 'Distant Observer' Shifts Shape as Authors Take Turns,"From left, Kyle Griffiths, Claire Buckingham and Samuel Im in &ldquo;Distant Observer: Tokyo/New York Correspondence,&rdquo;",Theater,"""Three performers on stage, one in a suit, another in a red garment, and the third in casual attire, with a chair featuring a skull decoration in the background.""",162
f340fa7f-6969-5665-915e-e7e7bb3407bd,Five Women Who Made Aviation History,Ruth Nichols,Books,"A woman stands confidently next to a vintage aircraft labeled ""Akita"" and ""Crosley Radio Corp NR496M."" She represents the early women pilots who broke barriers in aviation history.",180
3f44d276-3a99-55a7-9758-f30b2bbd144d,Michael Chabon Tries Hard to Be a Good Dad,Michael Chabon,Books,"Man with gray hair, wearing a suit and tie, sitting on a couch, looking thoughtful, possibly reflecting on fatherhood as part of Michael Chabon's essay collection.",163
2caf0b03-0ce9-5363-9aba-8faece70ddf3,A Speedier Way to Catalog Human Cells (All 37 Trillion of Them),"A light micrograph showing Caenorhabditis elegans, a worm in which scientists used a new method to determine cell types.",Science,"Microscopic worms resembling Caenorhabditis elegans are shown in this light micrograph, illustrating a method used to classify human cells by function.",151
9992d0f6-f62b-569c-92d4-d1b41a8cff08,Five Places to Go in Berlin,The Victoria Bar in Berlin.,Travel,"""Two patrons and a bartender at the Victoria Bar in Berlin, surrounded by wooden paneling, bottles, and a red lamp, with a framed picture above the bar.""",153
61068a9f-fed4-5848-bfac-10d523d33bd3,"In the Badlands, Where Hope for the Nation's First Tribal Park Has Faded","Badlands National Park, a land of dry grasslands and buttes, part of which was to be managed by the Oglala Sioux.",Travel,"Rugged buttes and dry grasslands under a dramatic sky at Badlands National Park, where tribal management efforts once aimed to transform part of the park.",154
857b731b-1673-5cab-a22e-8a7896db7dc2,A Sign of the Times: More For-Rent Notices in Manhattan,Graffiti on a SoHo storefront. Landlords have been finding it difficult to keep retail tenants because of online competition.,Real Estate,"""Pedestrians walk past a Soho storefront with graffiti and large advertising banners, highlighting the challenges faced by retailers due to online shopping.""",157
4a324f6b-e2cd-5326-b301-5e5f9de128b4,The Mystery of the Himalayas' Skeleton Lake Just Got Weirder,"Roopkund Lake, in the Indian Himalayas, is frozen for much of the year. But in warmer months it delivers a macabre performance, earning the nickname Skeleton Lake.",Science,"Frozen Roopkund Lake in the Indian Himalayas, where ancient bones occasionally emerge in summer, nicknamed Skeleton Lake due to its macabre seasonal transformation.",164
0e4baf4a-4d26-5a41-a5e1-0d79e36b44be,"Lynn Williams, 89, Who Led Steelworkers Union, Is Dead","Lynn Williams in 1984. He was president of the United Steel Workers from 1983 until 1994, a trying period for his industry.",Economy,"""Man in a work jacket with 'United Steelworkers' logo stands against an industrial backdrop, symbolizing his role as president of the union from 1983-1994.""",156
8d9a4ac2-e97e-58ef-a9c1-911c500b4638,Reporter Arrested in West Virginia After Persistently Asking Questions of Tom Price,"Dan Heyman, left, a reporter for the Public News Service in West Virginia, and his lawyer, J. Timothy DiPiero.",Media,"Two individuals stand outdoors at night near a signpost, identified as Dan Heyman (left), a reporter for the Public News Service, and his lawyer J. Timothy DiPiero.",164
91a9e6a6-5b4e-5377-a132-13e7e8c4e7b2,Honda Unveils World Touring Car Championship Civic,The 2014 W.T.C.C. Civic.,Automobiles,"A sleek, black Honda Civic hatchback with orange accents, designed for racing, marked as the 2014 W.T.C.C. Civic for the World Touring Car Championship.",152
0374957a-cbef-58bf-8ba9-fb3540dd32c7,"In China, a Reuters Partner Blocks Articles on the Tiananmen Square Massacre","In Taipei, Taiwan, people gathered Tuesday to commemorate the massacre in Tiananmen Square in Beijing on June 4, 1989, when the Chinese military squashed student protests, killing an unknown number of demonstrators.",Media,People gather to commemorate Tiananmen Square massacre in Taipei with a statue resembling the Statue of Liberty and a projected image of tanks moving down a street.,164
64053792-4c8e-5032-a34d-f91ae4831245,Loopholes Seen at Schools in Obama Get-Tough Policy,"Freeda Pirillis, a first-grade teacher in Chicago, said educators and students needed more support to meet new goals.",Education,"A teacher surrounded by students in a classroom setting, emphasizing the need for support to meet new educational goals under Obama's get-tough policy.",151
69903277-76a0-53d8-ac87-b9310fd9efe0,The Women Behind the Million Man March,Cora Masters Barry.,Opinion,"Alt text: A woman with short curly hair wearing large square glasses, surrounded by pink roses, representing Cora Masters Barry's role in the Million Man March.",160
cc0302f4-d8bc-5951-ba0c-1727ba00947a,"Review: Mahler, Distilled by Classical Music's Greatest Duo","The pianist Gerold Huber, left, with the baritone Christian Gerhaher in recital at Alice Tully Hall.",Music,Baritone Christian Gerhaher stands while pianist Gerold Huber plays Steinway & Sons piano during a recital at Alice Tully Hall as part of Lincoln Center's White Light Festival.,176
b3728491-642d-59fa-925d-95da21e3a81f,Bianca del Rio: The Joan Rivers of the Drag World,Bianca Del Rio (a.k.a. Roy Haylock) before a recent show in New York.,Style,"Drag performer Bianca Del Rio, dressed in a black outfit and seated in a green-lit room, surrounded by makeup items, ready for her ""The Rolodex of Hate"" show in New York.",170
7af26d79-4225-5dc6-b409-54f843d382b3,Firing Up the Neural Symphony,"Colored X-rays of a 61-year-old with Parkinson&rsquo;s disease, showing the electrodes of a deep-brain stimulator. The science of brain stimulation is moving fast, but many puzzles remain.",Health,"X-ray of a 61-year-old with Parkinson's disease showing electrodes of a deep-brain stimulator, illustrating rapid advancements in neural stimulation science.",157
30c2c230-228e-5aee-bb52-0e75e18d7929,CBD or THC? Common Drug Test Can't Tell the Difference,"Frank Conrad, co-founder of Colorado Green Labs in Denver, a cannabis industry consultancy. ""I can't even estimate how many people this is going to screw over,"" said Mr. Conrad.",Science,"A man in glasses holds a marker in front of a glass wall covered with writing and a logo. He's wearing a green shirt, and the setting suggests a cannabis industry consultancy environment related to CBD and THC testing challenges.",229
6f67be58-9996-5a8d-839a-62a05990b51d,Why Brokers Study Chinese,FOLLOWING THE MONEY  Kevin Brown and Nikki Field of Sotheby's International Realty travel to Asia four times a year.,Real Estate,"""Two professionals, Kevin Brown and Nikki Field of Sotheby's International Realty, pose for a photo as part of their regular visits to Asia, following the flow of Chinese investment into the U.S.""",196
d4bf3da4-dca6-53ad-82a3-d64577f0aaed,"Review: In 'Nylon,' Unfinished Business After the Breakup","Cesar J. Rosado and Sheila Vand in ""Nylon.""",Theater,"Two individuals stand facing each other in a minimalist room with white walls, discussing an unfinished business after a breakup, as depicted in Sofia Alvarez's play ""Nylon"" at Theaterlab.",188
bb09c537-bd6e-5cd3-adf2-993ef3dfbda6,'The Elephant Queen' Review: Magnificent Images of Majestic Animals,"A still from &ldquo;The Elephant Queen,&rdquo; which is narrated by the actor Chiwetel Ejiofor.",Movies,"A herd of elephants grazing in the Kenyan savanna under a blue sky, with mountains in the background. From ""The Elephant Queen,"" narrated by Chiwetel Ejiofor.",158
b161d523-7e70-5871-8848-2875a7dd226c,"Impact of the Coronavirus Ripples Across Asia: 'It Has Been Quiet, Like a Cemetery'","Many spots around Hong Kong are empty, including the usually busy MTR train.",Travel,"A person sits alone on a nearly empty MTR train seat, wearing casual clothing and sneakers, reflecting the quiet atmosphere described across Asia due to the coronavirus outbreak.",178
1d28d960-8c63-591d-ae68-61d05f8c34a1,Stressed About the Election? Don't Take It Out on Your Investments,"""What we were hearing now from clients is more about anxiety and people saying, 'We want to wait until things are certain,'"" said Dan Egan, director of behavioral finance at Betterment.",Your Money,"A group of people, some wearing masks, stand in front of large windows with projected images of two individuals in suits, reflecting the theme of uncertainty and election stress discussed in the article.",203
e6a8ddc3-06ea-53e1-b7f6-167d90017f15,"A Face for Wild Turkey? Matthew McConaughey Writes the Ads, Too","""I've always been interested in the art of the sell,"" said Matthew McConaughey, left, with the cinematographer Jeff Cronenweth. The actor has signed on as creative director for Wild Turkey bourbon.",Media,"Actor Matthew McConaughey holding a camera, standing outdoors with cinematographer Jeff Cronenweth, discussing creative direction for Wild Turkey bourbon.",154
c7efe39e-c3ff-5b39-a0ec-0349346a5725,Midsummer Night Swing Unveils a Season Including Septeto Santiaguero,Bernard Dove and Sid Chakli at Midsummer Night Swing at Lincoln Center in July 2013.,Dance,"""Two men in casual attire at Midsummer Night Swing event; one in pink shirt and hat, another in striped shirt and glasses, enjoying the lively atmosphere of Lincoln Center's outdoor dance party.""",195
7bf24c3f-b6b6-5d73-a90d-62ca203d0874,Jimmy Kimmel Apologizes for Use of Blackface in Past Comedy Sketches,Jimmy Kimmel is one of several high-profile white entertainers who have apologized recently for using blackface makeup in past comedy bits.,Television,"""Jimmy Kimmel, host of 'Jimmy Kimmel Live,' wearing a suit against an ABC logo backdrop, following his apology for using blackface in comedy sketches.""",151
695d9fd3-31a8-547f-b138-707f4217269c,"Monday Motorsports: Big Wins for Harvick, Enders-Stevens, MacCachren",Erica Enders-Stevens celebrates after becoming the first woman to win the N.H.R.A. Pro Stock car title.,Automobiles,"A woman in racing gear holds a trophy and a bottle of soda, celebrating her victory as the first female winner of the N.H.R.A. Pro Stock car championship.",154
15307ce4-1c7b-553e-8eca-50c146900a42,A Toolkit for Women Seeking a Raise,"""When a woman negotiates persuasively for higher compensation, she clears the path for other women to follow,"" says Hannah Riley Bowles an associate professor at Harvard's Kennedy School of Government.",Your Money,"Woman in professional attire stands on a spiral staircase, holding the railing, symbolizing upward movement and progression related to workplace negotiation strategies.",168
a4825fcc-0b95-572a-ad16-521c3fac9931,"A Truce, Not a Peace Treaty: A Global Economic Body Warns of Risks","The Basel, Switzerland, headquarters of the Bank for International Settlements, which warned in a report on Tuesday that ""underlying financial fragilities remain.""",Economy,"""High-rise building with illuminated windows, representing the Bank for International Settlements headquarters in Basel, Switzerland, as discussed in a report warning about ongoing financial fragilities.""",204
109f737c-1b4e-5028-ac7e-09ceaad6b21a,The Sharing Economy Attracts Older Adults,"Robert Blunier rents out his Ford Mustang convertible through RelayRides, a peer-to-peer car rental service based in San Francisco.",Your Money,"Man with long hair and beard sitting inside a blue Ford Mustang convertible, representing older adults utilizing RelayRides for car rentals to earn extra income.",161
4bf41de9-13d4-5526-8620-f29f10c26a7a,A Stadium at Iowa State Says His Name: Jack Trice,Jack Trice was largely forgotten at Iowa State before students and some faculty started a campaign to name the university's stadium after him.,Sports,"Rain-soaked Iowa State University football field with Jack Trice Stadium signage under cloudy skies, commemorating the stadium's namesake and the social justice movement honoring his legacy.",190
be1cd05e-3309-5ef4-b155-3a4f010c5fce,Curators Urge Guggenheim to Fix Culture That 'Enables Racism',"Curators at the Guggenheim Museum sent its leadership a letter Monday in which they urged it to reform a culture that, they said, &ldquo;enables racism.&rdquo;",Art & Design,"""Close-up of the Guggenheim Museum facade with the institution's name prominently displayed, symbolizing the institution's need for cultural reform as discussed in the article.""",177
d8ab6bad-5b9a-574e-855c-21feda9479c0,"Shepard Smith, Formerly of Fox News, Joins CNBC as a Nightly Anchor","Shepard Smith on ""Shepard Smith Reporting"" at Fox News Channel, last year.",Media,"A man in a suit sits on a news set, hands clasped, likely representing Shepard Smith joining CNBC as a nightly anchor after leaving Fox News due to coverage disputes.",166
45369a3e-1945-5e6d-a66d-c1c0eb5cee1b,Disney Plus Streaming Service Is Unveiled to Hollywood Fanfare,"Robert A. Iger, Disney's executive chairman, spent years laying the groundwork for its Disney Plus streaming service.",Media,"Man on stage at Disney presentation with large screen displaying ""The Walt Disney Company"" and prominent blue plus symbol, highlighting the unveiling of Disney Plus.",165
4588626e-fedd-546f-87f3-9224811ba152,"After Karl, Chanel Keeps Close to Home",Tie-dye effect metallic leathers,Fashion & Style,"Fashion show featuring models in vibrant, tie-dye effect metallic leathers, highlighting Parisian references in Chanel's Métiers d'Art debut by Virginie Viard.",159
976931e3-d5d5-5435-a4af-cdf369a9c109,Live Nation Adds Governors Ball to Its Music Festival Lineup,Michael Rapino of Live Nation Entertainment said the high risks of starting festivals made it attractive to acquire proven entities.,Media,"A man stands at a desk with a computer setup, framed pictures, and a standing desk converter, symbolizing Live Nation's acquisition of Governors Ball through Founders Entertainment.",181
9f58f658-afce-5647-b10b-9d10c589a1ae,How Much Watching Time Do You Have This Weekend?,John Wilson in &ldquo;How To With John Wilson.&rdquo;,Television,"Man with camera stands in room with plastic-wrapped furniture, dog on couch, roses on table. Film or television set scene for ""How To With John Wilson.""",152
66027c70-eaa1-58fe-bbe4-60caf9b5dabf,Starr Chamber: The Sequel,"Ken Starr in January 1999, during the impeachment trial of President Bill Clinton.",Opinion,"A man wearing glasses gazes upward in a black-and-white photo, likely related to the Starr Chamber proceedings during the impeachment trial of President Bill Clinton in 1999.",174
d7ad2cdb-ea7c-5ee4-87d1-3764bd90f0f0,The Bad Plus Greet the New Year With a New Lineup,"From left, Ethan Iverson, Reid Anderson and Dave King of the Bad Plus performing at the Village Vanguard last week, during Mr. Iverson&rsquo;s final run with the group.",Music,"A band performs live at the Village Vanguard: Ethan Iverson, Reid Anderson, and Dave King of The Bad Plus. The scene features a piano, double bass, and drums under warm stage lighting.",184
478b8bad-a00b-5640-9f15-a04cd006a0b0,"As Dollar Heats Up Overseas, U.S. Manufacturers Feel a Chill","Inspecting a blade for industrial cutting machinery sold globally and manufactured by Eastman Machine, a 127-year-old family-owned business.",Economy,"A man inspects a blade in a manufacturing facility, surrounded by industrial equipment, symbolizing challenges faced by U.S. manufacturers due to currency fluctuations.",168
023e9797-945e-54b8-b9aa-af1d4f238a90,"Kenneth Arrow, Nobel-Winning Economist Whose Influence Spanned Decades, Dies at 95",Kenneth J. Arrow receiving the Nobel Memorial Prize in Economic Science in Stockholm in 1972.,Economy,"""Kenneth Arrow, Nobel Prize recipient in Economics, standing before an orchestra in formal attire, capturing a moment of recognition at the award ceremony.""",156
80d381d5-c996-5ea0-b629-facab02a1a45,Toyota Sees Sales Rebounding,Toyota employees checked the rear gate of a vehicle at the company's quality control center in Toyota City on Tuesday.,Global Business,"Toyota employees inspecting a red car's rear gate inside their quality control center during a safety meeting in Japan, reflecting efforts to boost sales.",154
3ecf6e15-283d-5ee4-a0d4-e6fe3153523b,New New Nordic Cuisine Takes Hold in Oslo,Fyr Bistronomi & Cocktail Bar is one of the Oslo restaurants redefining the city's culinary scene.,Travel,"""Interior of Fyr Bistronomi & Cocktail Bar, a trendy Oslo restaurant featuring New Nordic cuisine with casual seating, candlelit tables, and brick walls.""",154
35d58007-e358-56ea-b93f-dc355a12eb0f,A Professional Troublemaker's Guide for Young Activists,Cecile Richards at a House Government Oversight committee hearing.,Books,"Woman in formal attire speaks into a microphone during a government oversight committee hearing, with a television screen showing another individual in a suit.",159
12a22d65-d817-5af8-908b-42bbed516c55,"China's Economy, While Still Surging, Begins Showing Signs of Moderation",Customers in a shopping mall in Beijing in April.,Global Business,"People with umbrellas use escalators in a shopping mall, hinting at moderation in consumption and investment as China's economy shows signs of slowing growth.",158
6c92737d-3e2c-5dcb-a7ae-20c6a9200883,Imagining a World After Anna,"Anna Wintour, in the receiving line at the Met Costume Gala in 2012, including, from left, Donald Trump, Melania Trump, Barry Diller, Miuccia Prada, Diane Von Furstenberg and Carey Mulligan.",Fashion & Style,"""Anna Wintour greets guests at the Met Costume Gala, surrounded by prominent figures including Donald Trump, Melania Trump, Barry Diller, Miuccia Prada, Diane von Furstenberg, and Carey Mulligan.""",196
79ce9862-452a-5b8a-8b16-d8b3e09947ef,'Dear Evan Hansen' and 'Leopoldstadt' Pick Up Olivier Awards,"Sam Tutty, left, won for best actor in a musical at the Olivier Awards, and Sharon D. Clarke, right, won for best actress in a play for ""Death of a Salesman.""",Theater,"Two winners from the Olivier Awards hold their trophies; Sam Tutty (left) in a suit, Sharon D. Clarke (right) in a colorful dress, both celebrating their wins.",159
2b834ed6-cfba-51fa-93ff-3c8fc73e809b,Pironkova Surprises Even Herself in Her Return at the U.S. Open,Tsvetana Pironkova of Bulgaria said she was comfortable being a full-time mother but missed the physical and mental challenges of tennis.,Sports,"""Tsvetana Pironkova, preparing to play in the U.S. Open quarterfinals, hits a forehand with her tennis racket, wearing a white tank top and blue skirt.""",152
af27947b-3def-5dae-9c2f-43ab91dc3988,"No, Trump did not win in Nevada.",People waited in line on Friday to address ballot issues and questions at the Clark County Election Department in Las Vegas this month.,Technology,"People wait in line outside the Clark County Election Department in Las Vegas, NV, where they addressed ballot issues and questions amid claims of voter discrepancy.",165
1641ca84-97d4-5285-98d1-9f3c84a21e05,Writing a Book Is a Solitary Endeavor. Publishing One Is a Group Effort.,"Charles Duhigg was Random House publisher Andy Ward's first best-selling author. Ward says, ""In this business, we're always thinking ahead to the books we're publishing six months or a year down the road, so that moment of celebration — something tangible! — is one I have to remind myself to stop and appreciate.""",Books,"A smiling man in a suit gestures with his hand while standing in an open, well-lit atrium, suggesting a celebration or discussion about publishing achievements.",160
0813bde1-c09e-57d4-a47e-6681859cbf3f,Economies in Asia Continue to Show Strong Rebound,Workers at a railway yard in the Indian city of Chandigarh. Governments in the region want to slow the growth of bank lending.,Global Business,"""Silhouetted workers carrying loads at a railway yard in Chandigarh, India, illustrating economic activity amid regional efforts to manage inflation and control bank lending.""",175
443c2148-c72a-5a06-8382-57b61eccc90c,"In Remote Villages, Surprising New Measures Save Children With Malaria","Josephine Mupeta, a volunteer health worker on a bicycle ambulance carrying supplies for identifying and treating malaria, in Serenje, Zambia.",Health,"A smiling woman in a reflective vest rides a bicycle ambulance along a rural path, carrying supplies for malaria identification and treatment in Serenje, Zambia.",161
dd6bdd42-e0be-5f56-a942-2be36a5703e6,She Led Latin American Art in a Bold New Direction,"""Antropofagia"" (""Cannibalism""), 1929, a seminal work of Brazilian Modernism by Tarsila do Amaral that is part of a new show of her work at MoMA.",Art & Design,"A 1929 painting titled ""Antropofagia,"" featuring a nude figure and stylized green cacti against a blue sky, representing Tarsila do Amaral's contribution to Brazilian Modernism.",177
c98aab89-9380-5c49-9375-6b05db5210bd,"Rick Gates, Ex-Trump Aide and Mueller Witness, Is Publishing a Memoir",Rick Gates is the latest former aide to join a parade of former Trump campaign and administration officials who have published memoirs.,Books,"A man in a suit, holding a phone, stands outside near a building entrance. Rick Gates is mentioned as part of a series of former Trump aides publishing memoirs.",160
41559a97-7bf5-5b8b-814b-81c1e808f074,What's on TV Tuesday: 'Let It Fall' and 'One Day at a Time',"A protester calling for the ouster of Daryl F. Gates, the chief of the Los Angeles Police Department, in &ldquo;Let It Fall.&rdquo;",Television,"A protester wearing a shirt reading ""GATES MUST GO"" speaks into a megaphone in a scene from ""Let It Fall,"" a documentary about the 1992 Los Angeles riots.",154
ae47f0b2-c2ba-5a89-adb9-2b7f4ce1667c,"Superheroes and Trailblazers: Black Comic Book Artists, Rediscovered","Matt Baker's ""Voodah"" in Crown Comics #3, Fall 1945. A new book calls Voodah the first Black hero featured in a mainstream comic book. Six issues in he was replaced by a white version of himself.",Art & Design,"A muscular Black man in red shorts swings a knife, wearing a headband, with vibrant colors and a jungle setting in a comic book illustration from Matt Baker's ""Voodah"" series, published in Crown Comics #3, Fall 1945.",216
f327013e-ab80-5ab6-a213-e1dec77b5db8,Readers' Stories of Love on the Road,"Readers found romance in some unlikely places, including a yurt camp in Mongolia.",Travel,"A serene sunset illuminates a yurt camp in Mongolia, with rolling hills in the background, symbolizing romance on the road as part of a readers' love stories.",158
7be17ee0-8ab8-59ce-8e96-ea382929e5a8,"Review: In 'Lunch Bunch,' You Are What Eats You","Keilly McQuail and Jon Norman Schneider as lawyers who work, and eat, together in ""Lunch Bunch.""",Theater,"Two actors, Keilly McQuail and Jon Norman Schneider, sit in office chairs, engaged in a playful interaction, representing their roles as lawyers who work and eat together in Sarah Einspanier's play ""Lunch Bunch.""",212
ff3b880c-cb21-5005-9337-58b2fa333268,"In Downtown Los Angeles, a Potential Anchor for Offices","Work on the Wilshire Grand Center, an estimated $1.2 billion mixed-use project in Los Angeles that will provide the city with its first new tower-based office space in decades.",Real Estate,"Construction workers at the Wilshire Grand Center, a major mixed-use project in Downtown Los Angeles, where workers carry materials amid unfinished structural steel beams and concrete walls.",190
b0870b26-ccb5-5569-9a80-2c658f4d6e2e,River to River Festival Puts Dance in Unexpected Places,"Netta Yerushalmy's work will be performed at the River to River Festival. Above, ""Paramodernities.""",Dance,"""Two dancers perform a dynamic paramodern acrobatic piece during the River to River Festival, showcasing fluid motion and vibrant colors against a rocky backdrop.""",163
